sitename,sitename_short,smurf_site,include,associated_mpa,MPA_STATUS,start year,end year,day,method,LAT_WGS84,LON_WGS84
ANACAPA_WEST_ISLE_CEN,ANACAPA_WEST_ISLE,ANA-WIN,1,Anacapa Island SMCA,SMCA,2003,2012,,SBTL_FISH,34.016983,-119.432917
ANACAPA_WEST_ISLE_E,ANACAPA_WEST_ISLE,ANA-WIN,1,Anacapa Island SMCA,SMCA,2003,2012,,SBTL_FISH,34.016083,-119.421833
ANACAPA_WEST_ISLE_W,ANACAPA_WEST_ISLE,ANA-WIN,1,Anacapa Island SMCA,SMCA,2003,2012,,SBTL_FISH,34.017417,-119.438067
SCI_CAVERN_POINT_E,SCI_CAVERN_POINT,SCORP,1,Scorpion SMR,SMR,2005,2012,,SBTL_FISH,34.054283,-119.566867
SCI_CAVERN_POINT_W,SCI_CAVERN_POINT,SCORP,1,Scorpion SMR,SMR,2005,2012,,SBTL_FISH,34.05275,-119.5713
SCI_COCHE_POINT_E,SCI_COCHE_POINT,COCHE,0,Scorpion SMR,reference,2004,2012,,SBTL_FISH,34.044933,-119.6014
SCI_COCHE_POINT_W,SCI_COCHE_POINT,COCHE,0,Scorpion SMR,reference,2004,2012,,SBTL_FISH,34.04265,-119.604
SCI_FORNEY_E,SCI_FORNEY,TRAIL,0,Painted Cave SMCA,reference,2001,2012,,SBTL_FISH,34.051483,-119.909667
SCI_FORNEY_W,SCI_FORNEY,TRAIL,0,Painted Cave SMCA,reference,2001,2012,,SBTL_FISH,34.053883,-119.9182
SCI_GULL_ISLE_E,SCI_GULL_ISLE,GULL,1,Gull Island SMR,SMR,2003,2012,,SBTL_FISH,33.946467,-119.823183
SCI_GULL_ISLE_W,SCI_GULL_ISLE,GULL,1,Gull Island SMR,SMR,2003,2012,,SBTL_FISH,33.948167,-119.82795
SCI_HAZARDS_CEN,SCI_HAZARDS,HAZ,1,Painted Cave SMCA,reference,2000,2012,,SBTL_FISH,34.056583,-119.821167
SCI_HAZARDS_E,SCI_HAZARDS,HAZ,1,Painted Cave SMCA,reference,2000,2012,,SBTL_FISH,34.054383,-119.81935
SCI_HAZARDS_W,SCI_HAZARDS,HAZ,1,Painted Cave SMCA,reference,2000,2012,,SBTL_FISH,34.0581,-119.824833
SCI_LITTLE_SCORPION_E,SCI_LITTLE_SCORPION,LITTLE SCORP,0,Scorpion SMR,reference,2005,2009,,SBTL_FISH,34.0434,-119.535733
SCI_LITTLE_SCORPION_W,SCI_LITTLE_SCORPION,LITTLE SCORP,0,Scorpion SMR,reference,2005,2009,,SBTL_FISH,34.04415,-119.54245
SCI_PAINTED_CAVE_CEN,SCI_PAINTED_CAVE,HAZ,1,Painted Cave SMCA,SMCA,2003,2012,,SBTL_FISH,34.072867,-119.870983
SCI_PAINTED_CAVE_E,SCI_PAINTED_CAVE,HAZ,1,Painted Cave SMCA,SMCA,2003,2012,,SBTL_FISH,34.0719,-119.85755
SCI_PAINTED_CAVE_W,SCI_PAINTED_CAVE,HAZ,1,Painted Cave SMCA,SMCA,2003,2012,,SBTL_FISH,34.074483,-119.882133
SCI_PELICAN_CEN,SCI_PELICAN,PEL,1,Scorpion SMR,reference,2000,2012,,SBTL_FISH,34.03065,-119.69665
SCI_PELICAN_E,SCI_PELICAN,PEL,1,Scorpion SMR,reference,2000,2012,,SBTL_FISH,34.02805,-119.690917
SCI_PELICAN_W,SCI_PELICAN,PEL,1,Scorpion SMR,reference,2000,2012,,SBTL_FISH,34.035867,-119.7023
SCI_POTATO_PASTURE_E,SCI_POTATO_PASTURE,SCORP,1,Scorpion SMR,SMR,2003,2009,,SBTL_FISH,34.050983,-119.575883
SCI_POTATO_PASTURE_W,SCI_POTATO_PASTURE,SCORP,1,Scorpion SMR,SMR,2003,2009,,SBTL_FISH,34.052167,-119.582117
